image,image_num,likely_role,paired_image_by_rule,paired_image_exists,confidence,basis
IMG_3362.JPG,3362,likely_sortie_front_form,IMG_3363.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3363.JPG,3363,likely_sortie_front_form,IMG_3364.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3368.JPG,3368,likely_sortie_front_form,IMG_3369.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3369.JPG,3369,likely_sortie_front_form,IMG_3370.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3373.JPG,3373,likely_sortie_front_form,IMG_3374.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3377.JPG,3377,likely_sortie_front_form,IMG_3378.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3378.JPG,3378,likely_sortie_front_form,IMG_3379.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3380.JPG,3380,likely_sortie_front_form,IMG_3381.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3386.JPG,3386,likely_sortie_front_form,IMG_3387.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3393.JPG,3393,likely_sortie_front_form,IMG_3394.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3394.JPG,3394,likely_sortie_front_form,IMG_3395.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3399.JPG,3399,likely_sortie_front_form,IMG_3400.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3401.JPG,3401,likely_sortie_front_form,IMG_3402.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3403.JPG,3403,likely_sortie_front_form,IMG_3404.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3405.JPG,3405,likely_sortie_front_form,IMG_3406.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3414.JPG,3414,likely_sortie_front_form,IMG_3415.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3416.JPG,3416,likely_sortie_front_form,IMG_3417.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3418.JPG,3418,likely_sortie_front_form,IMG_3419.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3424.JPG,3424,likely_sortie_front_form,IMG_3425.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3427.JPG,3427,likely_sortie_front_form,IMG_3428.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3430.JPG,3430,likely_sortie_front_form,IMG_3431.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3437.JPG,3437,likely_sortie_front_form,IMG_3438.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3439.JPG,3439,likely_sortie_front_form,IMG_3440.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3440.JPG,3440,likely_sortie_front_form,IMG_3441.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3443.JPG,3443,likely_sortie_front_form,IMG_3444.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3449.JPG,3449,likely_sortie_front_form,IMG_3450.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3452.JPG,3452,likely_sortie_front_form,IMG_3453.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3457.JPG,3457,likely_sortie_front_form,IMG_3458.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3459.JPG,3459,likely_sortie_front_form,IMG_3460.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3465.JPG,3465,likely_sortie_front_form,IMG_3466.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3467.JPG,3467,likely_sortie_front_form,IMG_3468.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3469.JPG,3469,likely_sortie_front_form,IMG_3470.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3478.JPG,3478,likely_sortie_front_form,IMG_3479.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3481.JPG,3481,likely_sortie_front_form,IMG_3482.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3483.JPG,3483,likely_sortie_front_form,IMG_3484.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3489.JPG,3489,likely_sortie_front_form,IMG_3490.JPG,yes,medium,Folder-wide visual sweep; RAF-style tabular sortie form layout.
IMG_3490.JPG,3490,likely_sortie_front_form,IMG_3491.JPG,yes,high,Manually reviewed October sortie-related front page.
IMG_3491.JPG,3491,likely_sortie_front_form,IMG_3492.JPG,yes,high,Manually reviewed 82nd Bombardment Squadron sortie front.
IMG_3496.JPG,3496,likely_sortie_front_form,IMG_3497.JPG,yes,high,Manually reviewed 81st Bombardment Squadron sortie front.
IMG_3498.JPG,3498,likely_sortie_front_form,IMG_3499.JPG,no,high,Manually reviewed 484th Bombardment Squadron sortie front.
IMG_3500.JPG,3500,likely_sortie_front_form,IMG_3501.JPG,yes,high,Manually reviewed 82nd Bombardment Squadron sortie front.
